Year,Subject,Winner,Country,Category,,,,,,,,
1970,Physics,Hannes Alfven,Sweden,Scientist,,,,,,,,
1970,Physics,Louis Neel,France,Scientist,,,,,,,,
1970,Chemistry,Luis Federico Leloir,France,Scientist,,,,,,,,
1970,Physiology,Ulf von Euler,Sweden,Scientist,,,,,,,,
1970,Physiology,Bernard Katz,Germany,Scientist,,,,,,,,
1970,Literature,Alexandr Solzhenitsy,Russia,Linguist,,,,,,,,
1970,Economics,Paul Samuelson,USA,Economist,,,,,,,,
1970,Physiology,Julius Axelrod,USA,Scientist,,,,,,,,
1971,Physics,Dennis gabor,Hungary,Scientist,,,,,,,,
1971,Chemistry,Gerhard Herzberg,Germany,Scientist,,,,,,,,
1971,Peace,Willy Brandt,Germany,Chancellor,,,,,,,,
1971,Literature,Pablo Naruda,Chile,Linguist,,,,,,,,
1971,Economics,Simon Kuznets,Russia,Economist,,,,,,,,
1978,Peace,Anwar al-Sadat,Egypt,President,,,,,,,,
1978,Peace,Menachem Begin,Israel,Prime Minister,,,,,,,,
1987,Chemistry,Donald J Cram,USA,Scientist,,,,,,,,
1987,Chemistry,Jean-Marie Lehn,France,Scientist,,,,,,,,
1987,Physiology,Susumu Tonegawa,Japan,Scientist,,,,,,,,
1994,Economics,rEinhard Selten,Germany,Economist,,,,,,,,
1994,Peace,Yitzak Rabin,Israel,Prime Minister,,,,,,,,
1987,Physics,Johannes Georg Bednorz,Germany,Scientist,,,,,,,,
1987,Literature,Joseph Brodsky,Russia,Linguist,,,,,,,,
1987,Economics,Robertb solow,USA,Economist,,,,,,,,
1994,Literature,Kenzaburo Oe,Japan,Linguist,,,,,,,,
